Ada Lovelace
Alan Kay
Alan Turing
Arthur Burks
Claude Shannon
Dana Scott
David Clark
David Gale
Douglas Engelbart
Edgar Codd
Edsger Dijkstra
Frederick Brooks
George Boole
Gordon Moore
Grace Hopper
Herman Goldstine
Ivan Sutherland
J. C. R. Licklider
Jack Edmonds
John Backus
John McCarthy
John von Neumann
Joseph Weizenbaum
Ken Thompson
Kurt Godel
Leonid Levin
Leslie Lamport
Lloyd Shapley
Martin Hellman
Marvin Minsky
Michael Rabin
Nathaniel Rochester
Noam Chomsky
Peter Nauer
Richard Hamming
Richard Karp
Robert Floyd
Tim Berners-Lee
Vannevar Bush
Whitfield Diffie
