corpus	smoothing	ngram	type	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
American English	1	algol (All)	CASE_INSENSITIVE	3.537e-07	2.736e-07	2.843e-07	1.219e-07	1.265e-07	1.009e-07	1.131e-07	9.978e-08	1.247e-07	1.31e-07	2.038e-07	5.738e-07	8.051e-07	1.027e-06	9.897e-07	9.818e-07	1.201e-06	1.007e-06	1.126e-06	8.875e-07	1.037e-06	9.678e-07	9.98e-07	9.281e-07	1.092e-06	9.933e-07	1.046e-06	9.166e-07	9.895e-07	9.218e-07	8.252e-07	7.254e-07	7.016e-07	6.465e-07	6.139e-07	6.254e-07	6.307e-07	5.778e-07	4.504e-07	4.589e-07	4.303e-07	4.007e-07	2.439e-07	2.199e-07	2.001e-07	2.106e-07	2.5e-07	2.336e-07	2.427e-07	1.877e-07	1.759e-07	1.392e-07	1.237e-07	1.255e-07	1.081e-07	1.098e-07	1.323e-07	1.279e-07	1.304e-07
American English	1	ALGOL	EXPANSION	3.608e-08	2.517e-08	1.743e-08	1.381e-09	5.487e-09	6.719e-09	7.605e-09	3.305e-09	7.978e-09	2.84e-08	7.889e-08	4.165e-07	5.334e-07	6.959e-07	5.781e-07	6.185e-07	6.149e-07	5.215e-07	6.363e-07	6.611e-07	7.139e-07	6.844e-07	6.767e-07	6.449e-07	7.188e-07	6.314e-07	7.038e-07	5.513e-07	5.588e-07	4.953e-07	4.292e-07	3.966e-07	3.456e-07	3.677e-07	3.582e-07	4.191e-07	3.763e-07	3.249e-07	1.803e-07	1.569e-07	1.441e-07	1.466e-07	9.807e-08	8.033e-08	7.452e-08	9.656e-08	1.244e-07	1.112e-07	7.77e-08	4.464e-08	4.407e-08	5.109e-08	4.022e-08	3.695e-08	2.001e-08	1.837e-08	1.687e-08	1.874e-08	1.936e-08
American English	1	Algol	EXPANSION	3.16e-07	2.468e-07	2.643e-07	1.182e-07	1.189e-07	9.37e-08	1.039e-07	9.441e-08	1.142e-07	1.01e-07	1.241e-07	1.344e-07	2.073e-07	2.654e-07	3.684e-07	3.538e-07	5.732e-07	4.673e-07	4.766e-07	2.046e-07	3.033e-07	2.627e-07	2.897e-07	2.517e-07	3.336e-07	3.412e-07	3.237e-07	3.556e-07	4.203e-07	3.816e-07	3.489e-07	2.829e-07	3.458e-07	2.715e-07	2.501e-07	1.961e-07	2.456e-07	2.447e-07	2.658e-07	2.524e-07	2.331e-07	1.975e-07	1.353e-07	1.33e-07	1.227e-07	1.109e-07	1.224e-07	1.192e-07	1.619e-07	1.409e-07	1.296e-07	8.625e-08	8.181e-08	8.75e-08	8.76e-08	9.084e-08	1.149e-07	1.086e-07	1.106e-07
American English	1	algol	EXPANSION	1.575e-09	1.606e-09	2.522e-09	2.245e-09	2.186e-09	4.97e-10	1.651e-09	2.072e-09	2.494e-09	1.531e-09	7.871e-10	2.292e-08	6.44e-08	6.546e-08	4.318e-08	9.592e-09	1.278e-08	1.813e-08	1.358e-08	2.18e-08	2.006e-08	2.068e-08	3.172e-08	3.147e-08	3.982e-08	2.064e-08	1.898e-08	9.802e-09	1.035e-08	4.498e-08	4.713e-08	4.588e-08	1.016e-08	7.274e-09	5.639e-09	1.02e-08	8.807e-09	8.182e-09	4.172e-09	4.962e-08	5.318e-08	5.65e-08	1.049e-08	6.574e-09	2.826e-09	3.156e-09	3.172e-09	3.15e-09	3.065e-09	2.169e-09	2.224e-09	1.828e-09	1.663e-09	1.007e-09	5.256e-10	6.378e-10	4.784e-10	5.418e-10	4.458e-10
American English	1	fortran (All)	CASE_INSENSITIVE	1.933e-09	1.845e-09	8.378e-10	1.106e-09	3.41e-08	3.554e-08	4.312e-08	2.013e-08	5.342e-08	6.429e-08	3.069e-07	7.021e-07	1.297e-06	2.077e-06	2.946e-06	4.169e-06	4.969e-06	5.452e-06	5.087e-06	5.12e-06	4.832e-06	5.126e-06	5.009e-06	5.225e-06	5.19e-06	4.989e-06	4.765e-06	4.863e-06	4.8e-06	4.636e-06	4.014e-06	3.729e-06	4.381e-06	4.972e-06	5.589e-06	5.085e-06	4.696e-06	4.173e-06	3.859e-06	3.492e-06	3.069e-06	2.73e-06	2.384e-06	2.204e-06	1.982e-06	1.837e-06	1.652e-06	1.624e-06	1.491e-06	1.279e-06	9.446e-07	8.788e-07	7.816e-07	7.995e-07	6.263e-07	5.884e-07	4.382e-07	3.294e-07	2.542e-07
American English	1	FORTRAN	EXPANSION	0	2.781e-10	2.781e-10	2.781e-10	1.566e-08	1.59e-08	2.121e-08	1.129e-08	3.826e-08	4.402e-08	2.725e-07	5.519e-07	1.028e-06	1.478e-06	2.122e-06	2.874e-06	3.397e-06	3.803e-06	3.674e-06	3.751e-06	3.461e-06	3.704e-06	3.773e-06	3.949e-06	3.882e-06	3.807e-06	3.669e-06	3.769e-06	3.669e-06	3.503e-06	3.062e-06	2.854e-06	3.352e-06	3.885e-06	4.243e-06	3.906e-06	3.413e-06	2.964e-06	2.56e-06	2.301e-06	2.026e-06	1.898e-06	1.6e-06	1.44e-06	1.186e-06	1.068e-06	8.586e-07	7.888e-07	6.731e-07	5.788e-07	4.531e-07	4.267e-07	3.896e-07	3.629e-07	2.678e-07	2.392e-07	1.935e-07	1.506e-07	1.14e-07
American English	1	Fortran	EXPANSION	1.933e-09	1.567e-09	5.596e-10	8.278e-10	1.844e-08	1.964e-08	2.191e-08	8.839e-09	1.516e-08	2.026e-08	3.444e-08	1.502e-07	2.685e-07	5.989e-07	8.243e-07	1.295e-06	1.572e-06	1.649e-06	1.413e-06	1.369e-06	1.371e-06	1.422e-06	1.236e-06	1.276e-06	1.308e-06	1.182e-06	1.096e-06	1.094e-06	1.131e-06	1.133e-06	9.517e-07	8.751e-07	1.028e-06	1.087e-06	1.346e-06	1.18e-06	1.284e-06	1.209e-06	1.298e-06	1.191e-06	1.044e-06	8.314e-07	7.833e-07	7.633e-07	7.964e-07	7.689e-07	7.932e-07	8.348e-07	8.177e-07	7.003e-07	4.914e-07	4.521e-07	3.92e-07	4.366e-07	3.584e-07	3.491e-07	2.447e-07	1.788e-07	1.403e-07
American English	1	lisp (All)	CASE_INSENSITIVE	3.121e-07	3.024e-07	3.067e-07	3.196e-07	3.312e-07	3.161e-07	3.104e-07	3.136e-07	3.004e-07	2.918e-07	2.82e-07	3.172e-07	3.616e-07	4.432e-07	4.589e-07	4.21e-07	5.004e-07	4.87e-07	5.945e-07	4.865e-07	5.031e-07	4.674e-07	4.867e-07	5.486e-07	6.694e-07	7.36e-07	7.166e-07	9.014e-07	9.806e-07	1.149e-06	9.497e-07	9.674e-07	9.23e-07	1.711e-06	2.252e-06	3.186e-06	3.206e-06	3.624e-06	3.369e-06	3.656e-06	2.959e-06	2.872e-06	1.952e-06	1.698e-06	1.166e-06	1.222e-06	1.132e-06	1.055e-06	8.41e-07	8.403e-07	7.901e-07	7.059e-07	5.986e-07	5.475e-07	5.376e-07	5.912e-07	5.595e-07	5.45e-07	5.205e-07
American English	1	LISP	EXPANSION	3.867e-10	8.14e-10	1.119e-09	1.924e-09	3.853e-09	3.289e-09	2.485e-09	4.591e-10	1.514e-09	4.187e-09	5.471e-09	1.312e-08	4.192e-08	1.509e-07	1.458e-07	1.411e-07	1.881e-07	2.207e-07	3.072e-07	1.958e-07	2.066e-07	1.835e-07	2.09e-07	2.46e-07	3.587e-07	4.311e-07	4.442e-07	5.945e-07	6.151e-07	7.794e-07	6.085e-07	6.763e-07	6.208e-07	1.064e-06	1.203e-06	1.736e-06	1.819e-06	2.17e-06	1.888e-06	1.757e-06	1.315e-06	1.298e-06	9.583e-07	8.134e-07	5.455e-07	5.581e-07	5.246e-07	4.848e-07	3.647e-07	3.293e-07	2.777e-07	2.395e-07	2.144e-07	1.876e-07	1.353e-07	1.705e-07	1.416e-07	1.331e-07	8.266e-08
American English	1	Lisp	EXPANSION	5.281e-09	7.414e-09	1.145e-08	1.137e-08	1.245e-08	9.848e-09	1.367e-08	1.099e-08	9.794e-09	8.908e-09	9.575e-09	1.588e-08	1.783e-08	1.78e-08	1.67e-08	1.397e-08	2.798e-08	2.623e-08	2.85e-08	1.671e-08	1.759e-08	2.112e-08	2.064e-08	2.855e-08	2.864e-08	4.528e-08	3.673e-08	5.475e-08	1.04e-07	1.132e-07	1.04e-07	6.32e-08	7.802e-08	4.156e-07	7.542e-07	1.115e-06	1.056e-06	1.161e-06	1.208e-06	1.624e-06	1.39e-06	1.309e-06	7.377e-07	6.357e-07	4.073e-07	4.517e-07	3.981e-07	3.56e-07	2.702e-07	2.96e-07	2.909e-07	2.435e-07	1.577e-07	1.186e-07	1.436e-07	1.56e-07	1.44e-07	8.196e-08	6.929e-08
American English	1	lisp	EXPANSION	3.065e-07	2.941e-07	2.941e-07	3.063e-07	3.149e-07	3.03e-07	2.942e-07	3.021e-07	2.89e-07	2.787e-07	2.669e-07	2.882e-07	3.019e-07	2.745e-07	2.964e-07	2.659e-07	2.844e-07	2.4e-07	2.588e-07	2.74e-07	2.789e-07	2.628e-07	2.571e-07	2.741e-07	2.82e-07	2.596e-07	2.357e-07	2.522e-07	2.615e-07	2.563e-07	2.372e-07	2.279e-07	2.242e-07	2.315e-07	2.941e-07	3.346e-07	3.314e-07	2.917e-07	2.732e-07	2.745e-07	2.539e-07	2.654e-07	2.557e-07	2.49e-07	2.13e-07	2.121e-07	2.096e-07	2.146e-07	2.061e-07	2.149e-07	2.215e-07	2.229e-07	2.264e-07	2.412e-07	2.586e-07	2.646e-07	2.74e-07	3.299e-07	3.685e-07
British English	1	algol (All)	CASE_INSENSITIVE	2.04e-07	1.672e-07	7.371e-08	6.531e-08	1.021e-07	1.203e-07	1.435e-07	7.99e-08	1.967e-07	1.8e-07	2.25e-07	2.288e-07	2.562e-07	7.751e-07	8.204e-07	1.225e-06	1.019e-06	1.518e-06	1.505e-06	1.579e-06	1.143e-06	1.098e-06	9.921e-07	1.071e-06	1.007e-06	1.027e-06	1.281e-06	1.326e-06	1.636e-06	1.334e-06	1.306e-06	9.864e-07	9.063e-07	8.824e-07	7.686e-07	7.544e-07	6.186e-07	6.556e-07	6.744e-07	6.005e-07	4.742e-07	3.217e-07	3.302e-07	2.732e-07	2.659e-07	1.87e-07	1.632e-07	1.455e-07	1.4e-07	1.595e-07	1.862e-07	1.876e-07	1.696e-07	1.372e-07	1.283e-07	1.145e-07	1.328e-07	1.373e-07	1.396e-07
British English	1	ALGOL	EXPANSION	2.383e-09	2.973e-09	5.251e-09	5.251e-09	4.649e-09	1.53e-09	3.541e-09	4.93e-09	5.693e-09	8.346e-09	1.368e-08	4.618e-08	7.712e-08	4.984e-07	6.321e-07	8.853e-07	6.317e-07	9.984e-07	8.855e-07	8.986e-07	5.379e-07	5.924e-07	5.766e-07	6.384e-07	6.062e-07	6.672e-07	8.077e-07	8.438e-07	9.897e-07	7.468e-07	6.323e-07	3.95e-07	3.517e-07	3.928e-07	3.425e-07	3.1e-07	2.117e-07	2.639e-07	2.666e-07	2.454e-07	1.235e-07	9.48e-08	1.457e-07	1.621e-07	1.42e-07	6.013e-08	3.28e-08	2.807e-08	3.097e-08	2.637e-08	2.595e-08	2.394e-08	2.274e-08	2.513e-08	1.785e-08	2.426e-08	1.906e-08	2.68e-08	2.238e-08
British English	1	Algol	EXPANSION	2.005e-07	1.621e-07	6.633e-08	5.789e-08	9.516e-08	1.164e-07	1.378e-07	7.43e-08	1.896e-07	1.68e-07	2.076e-07	9.497e-08	9.227e-08	1.863e-07	1.79e-07	3.318e-07	3.797e-07	5.083e-07	6.034e-07	6.49e-07	5.788e-07	4.756e-07	3.963e-07	4.087e-07	3.851e-07	3.421e-07	4.524e-07	4.588e-07	6.212e-07	5.686e-07	5.549e-07	4.804e-07	4.47e-07	4.503e-07	3.878e-07	3.805e-07	3.72e-07	3.499e-07	3.914e-07	3.398e-07	3.378e-07	2.135e-07	1.741e-07	1.062e-07	1.057e-07	1.101e-07	1.148e-07	1.165e-07	1.083e-07	1.309e-07	1.583e-07	1.61e-07	1.45e-07	1.1e-07	1.07e-07	8.722e-08	1.097e-07	1.082e-07	1.147e-07
British English	1	algol	EXPANSION	1.126e-09	2.134e-09	2.134e-09	2.164e-09	2.343e-09	2.343e-09	2.233e-09	6.702e-10	1.426e-09	3.67e-09	3.67e-09	8.769e-08	8.684e-08	9.04e-08	9.261e-09	8.106e-09	7.53e-09	1.138e-08	1.601e-08	3.118e-08	2.633e-08	3.033e-08	1.917e-08	2.413e-08	1.577e-08	1.782e-08	2.127e-08	2.323e-08	2.531e-08	1.873e-08	1.186e-07	1.11e-07	1.076e-07	3.929e-08	3.825e-08	6.398e-08	3.485e-08	4.185e-08	1.643e-08	1.533e-08	1.292e-08	1.333e-08	1.043e-08	4.93e-09	1.815e-08	1.68e-08	1.558e-08	9.579e-10	7.631e-10	2.205e-09	1.993e-09	2.649e-09	1.872e-09	2.11e-09	3.52e-09	2.993e-09	4.031e-09	2.249e-09	2.564e-09
